languagerepresentation, length, time
lua-BitString, 16, 0.138472
lua-BitString, 32, 0.153188
lua-BitString, 64, 0.189082
lua-BitString, 128, 0.195775
lua-BitString, 256, 0.227511
lua-BitString, 512, 0.260409
lua-BitString, 1024, 0.287016
lua-BitString, 2048, 0.345132
lua-BitString, 4096, 0.443664
lua-BitString, 8192, 0.628303
lua-BitString, 16384, 1.024463
lua-BitString, 32768, 1.94307
node-BitString, 16, 0.160806589
node-BitString, 32, 0.157202745
node-BitString, 64, 0.157618616
node-BitString, 128, 0.156915225
node-BitString, 256, 0.157834305
node-BitString, 512, 0.15672511
node-BitString, 1024, 0.156460626
node-BitString, 2048, 0.157259448
node-BitString, 4096, 0.157262506
node-BitString, 8192, 0.157161797
node-BitString, 16384, 0.160300963
node-BitString, 32768, 0.168783221
julia-BitString, 16, 1.0098631381988525
julia-BitString, 32, 1.022557020187378
julia-BitString, 64, 1.0162079334259033
julia-BitString, 128, 1.014193058013916
julia-BitString, 256, 1.0335490703582764
julia-BitString, 512, 1.0296671390533447
julia-BitString, 1024, 1.155466079711914
julia-BitString, 2048, 1.4064691066741943
julia-BitString, 4096, 1.8243751525878906
julia-BitString, 8192, 2.638934850692749
julia-BitString, 16384, 4.075515031814575
julia-BitString, 32768, 6.779500961303711
C++-BitString, 16, 0.27911
C++-BitString, 32, 0.507671
C++-BitString, 64, 0.973914
C++-BitString, 128, 1.91343
C++-BitString, 256, 3.73445
C++-BitString, 512, 7.47594
C++-BitString, 1024, 14.8943
C++-BitString, 2048, 29.8744
C++-BitString, 4096, 58.858
C++-BitString, 8192, 117.86
C++-BitString, 16384, 236.469
C++-BitString, 32768, 469.746
Go-BitVector, 16 ,  0.01574329
Go-BitVector, 32 ,  0.013137438000000001
Go-BitVector, 64 ,  0.012298929
Go-BitVector, 128 ,  0.011524257000000001
Go-BitVector, 256 ,  0.012543143000000001
Go-BitVector, 512 ,  0.017210218
Go-BitVector, 1024 ,  0.021038868000000002
Go-BitVector, 2048 ,  0.024786544
Go-BitVector, 4096 ,  0.036139648
Go-BitVector, 8192 ,  0.049044231
Go-BitVector, 16384 ,  0.08162330000000001
Go-BitVector, 32768 ,  0.17802359
Go-Vector, 16 ,  0.015647741
Go-Vector, 32 ,  0.013973514000000001
Go-Vector, 64 ,  0.017106989
Go-Vector, 128 ,  0.020599648
Go-Vector, 256 ,  0.024722329
Go-Vector, 512 ,  0.032667685
Go-Vector, 1024 ,  0.046975172
Go-Vector, 2048 ,  0.072955062
Go-Vector, 4096 ,  0.16726244
Go-Vector, 8192 ,  0.33652316800000004
Go-Vector, 16384 ,  0.688754072
Go-Vector, 32768 ,  1.504965349
perlsimple-BitString, 16, 0.093017
perlsimple-BitString, 32, 0.09311
perlsimple-BitString, 64, 0.093369
perlsimple-BitString, 128, 0.096936
perlsimple-BitString, 256, 0.10122
perlsimple-BitString, 512, 0.106117
perlsimple-BitString, 1024, 0.113045
perlsimple-BitString, 2048, 0.116048
perlsimple-BitString, 4096, 0.135422
perlsimple-BitString, 8192, 0.180865
perlsimple-BitString, 16384, 0.275157
perlsimple-BitString, 32768, 0.452528
C-BitString, 16, 0.023034
C-BitString, 32, 0.033206
C-BitString, 64, 0.065305
C-BitString, 128, 0.129805
C-BitString, 256, 0.259115
C-BitString, 512, 0.518837
C-BitString, 1024, 1.035489
C-BitString, 2048, 2.108138
C-BitString, 4096, 4.240845
C-BitString, 8192, 8.438042
C-BitString, 16384, 16.643888
C-BitString, 32768, 33.249835
PHP-BitString, 16, 0.084987878799438
PHP-BitString, 32, 0.083945989608765
PHP-BitString, 64, 0.084114074707031
PHP-BitString, 128, 0.084746122360229
PHP-BitString, 256, 0.086251974105835
PHP-BitString, 512, 0.088663101196289
PHP-BitString, 1024, 0.099147796630859
PHP-BitString, 2048, 0.10781407356262
PHP-BitString, 4096, 0.12345600128174
PHP-BitString, 8192, 0.16549801826477
PHP-BitString, 16384, 0.24688696861267
PHP-BitString, 32768, 0.42579698562622
Java-BitSet,16 , 0.019414981
Java-BitSet,32 , 0.006734073
Java-BitSet,64 , 0.007040646
Java-BitSet,128 , 0.011196423
Java-BitSet,256 , 0.015372861
Java-BitSet,512 , 0.017044779
Java-BitSet,1024 , 0.009845389
Java-BitSet,2048 , 0.01462831
Java-BitSet,4096 , 0.030648571
Java-BitSet,8192 , 0.046580861
Java-BitSet,16384 , 0.082599738
Java-BitSet,32768 , 0.15565695
Python-BitString, 16, 0.191942
Python-BitString, 32, 0.187645
Python-BitString, 64, 0.185287
Python-BitString, 128, 0.184696
Python-BitString, 256, 0.189651
Python-BitString, 512, 0.187854
Python-BitString, 1024, 0.188472
Python-BitString, 2048, 0.201052
Python-BitString, 4096, 0.38871
Python-BitString, 8192, 0.318437
Python-BitString, 16384, 0.858042
Python-BitString, 32768, 5.511306
Scala-BitString, 16, 0.744348217
Scala-BitString, 32, 1.084732938
Scala-BitString, 64, 2.088636449
Scala-BitString, 128, 4.035128035
Scala-BitString, 256, 8.192925495
Scala-BitString, 512, 16.072171438
Scala-BitString, 1024, 31.783877309
Scala-BitString, 2048, 64.634910485
Scala-BitString, 4096, 128.377681939
Scala-BitString, 8192, 260.548575546
Scala-BitString, 16384, 531.343119435
Scala-BitString, 32768, 1069.655612513
Scala-BitVector, 16, 0.27609606
Scala-BitVector, 32, 0.37891259
Scala-BitVector, 64, 0.720946991
Scala-BitVector, 128, 1.273745151
Scala-BitVector, 256, 2.42401833
Scala-BitVector, 512, 4.659423727
Scala-BitVector, 1024, 9.148627659
Scala-BitVector, 2048, 18.344673342
Scala-BitVector, 4096, 36.445573232
Scala-BitVector, 8192, 72.447136535
Scala-BitVector, 16384, 144.688775524
Scala-BitVector, 32768, 290.245904784
Haskell-Sequence, 16, 0.523337
Haskell-Sequence, 32, 0.642599
Haskell-Sequence, 64, 0.766721
Haskell-Sequence, 128, 0.899414
Haskell-Sequence, 256, 1.030957
Haskell-Sequence, 512, 1.177414
Haskell-Sequence, 1024, 1.297335
Haskell-Sequence, 2048, 1.416639
Haskell-Sequence, 4096, 1.522024
Haskell-Sequence, 8192, 1.709193
Haskell-Sequence, 16384, 1.786828
Haskell-Sequence, 32768, 1.982259
Haskell-Sequence, 65536, 2.130296
CSharp-BitVector,16,0.0060532
CSharp-BitVector,32,0.0069607
CSharp-BitVector,64,0.0081424
CSharp-BitVector,128,0.0121073
CSharp-BitVector,256,0.0181279
CSharp-BitVector,512,0.0315882
CSharp-BitVector,1024,0.0580618
CSharp-BitVector,2048,0.1121263
CSharp-BitVector,4096,0.2171852
CSharp-BitVector,8192,0.4276909
CSharp-BitVector,16384,0.8600997
CSharp-BitVector,32768,1.7328797
Octave-BitVector,16,7.226437
Octave-BitVector,32,7.154273
Octave-BitVector,64,7.171814
Octave-BitVector,128,7.219337
Octave-BitVector,256,7.286929
Octave-BitVector,512,7.298546
Octave-BitVector,1024,7.606605
Octave-BitVector,2048,7.585081
Octave-BitVector,4096,7.596948
Octave-BitVector,8192,7.762893
Octave-BitVector,16384,7.853589
Octave-BitVector,32768,8.083412
clojure-BitVector, 16, 0.19519982
clojure-BitVector, 32, 0.1957756
clojure-BitVector, 64, 0.36539584
clojure-BitVector, 128, 0.7551583
clojure-BitVector, 256, 1.604802
clojure-BitVector, 512, 3.3813457
clojure-BitVector, 1024, 6.875326
clojure-BitVector, 2048, 19.563562
clojure-BitVector, 4096, 39.55029
clojure-BitVector, 8192, 78.92864
clojure-BitVector, 16384, 161.68542
clojure-BitVector, 32768, 327.56238
clisp-BitVector, 16, 0.18400000
clisp-BitVector, 32, 0.21400000
clisp-BitVector, 64, 0.27900000
clisp-BitVector, 128, 0.40800000
clisp-BitVector, 256, 0.67200000
clisp-BitVector, 512, 1.18900000
clisp-BitVector, 1024, 2.26000000
clisp-BitVector, 2048, 4.49500000
clisp-BitVector, 4096, 9.04800000
clisp-BitVector, 8192, 17.22200000
clisp-BitVector, 16384, 34.31500000
clisp-BitVector, 32768, 68.24900000
Ruby-BitVector, 16, 0.161440455
Ruby-BitVector, 32, 0.174419464
Ruby-BitVector, 64, 0.186804504
Ruby-BitVector, 128, 0.204671816
Ruby-BitVector, 256, 0.243936423
Ruby-BitVector, 512, 0.314440694
Ruby-BitVector, 1024, 0.392037257
Ruby-BitVector, 2048, 0.584584391
Ruby-BitVector, 4096, 1.10320834
Ruby-BitVector, 8192, 2.323467263
Ruby-BitVector, 16384, 5.728338326
Ruby-BitVector, 32768, 11.864498632
JRuby-BitVector, 16, 0.3021334670011129
JRuby-BitVector, 32, 0.10524671500024851
JRuby-BitVector, 64, 0.11225198099964473
JRuby-BitVector, 128, 0.1151473520003492
JRuby-BitVector, 256, 0.13402375800069422
JRuby-BitVector, 512, 0.1907811600012792
JRuby-BitVector, 1024, 0.31643017399983364
JRuby-BitVector, 2048, 0.43692748000103165
JRuby-BitVector, 4096, 0.7776827620000404
JRuby-BitVector, 8192, 1.7759274869986257
JRuby-BitVector, 16384, 3.6218856670002424
JRuby-BitVector, 32768, 7.618621555000573
Python_DEAP_numpy-BitVector, 16, 0.239126
Python_DEAP_numpy-BitVector, 32, 0.239421
Python_DEAP_numpy-BitVector, 64, 0.236765
Python_DEAP_numpy-BitVector, 128, 0.2411939999999999
Python_DEAP_numpy-BitVector, 256, 0.24475800000000003
Python_DEAP_numpy-BitVector, 512, 0.254146
Python_DEAP_numpy-BitVector, 1024, 0.27222499999999994
Python_DEAP_numpy-BitVector, 2048, 0.3094720000000002
Python_DEAP_numpy-BitVector, 4096, 0.36216099999999996
Python_DEAP_numpy-BitVector, 8192, 0.4962059999999999
Python_DEAP_numpy-BitVector, 16384, 0.7878370000000001
Python_DEAP_numpy-BitVector, 32768, 1.4393279999999997
Python_DEAP-List, 16, 0.16637999999999997
Python_DEAP-List, 32, 0.18061499999999997
Python_DEAP-List, 64, 0.20403300000000002
Python_DEAP-List, 128, 0.23601799999999995
Python_DEAP-List, 256, 0.29742199999999985
Python_DEAP-List, 512, 0.40170700000000004
Python_DEAP-List, 1024, 0.6080760000000001
Python_DEAP-List, 2048, 1.026938
Python_DEAP-List, 4096, 1.9763880000000005
Python_DEAP-List, 8192, 3.904108000000001
Python_DEAP-List, 16384, 7.840655
Python_DEAP-List, 32768, 15.57514100000000
Pascal-BitVector, 16, 0.03
Pascal-BitVector, 32, 0.03
Pascal-BitVector, 64, 0.04
Pascal-BitVector, 128, 0.05
Pascal-BitVector, 256, 0.09
Pascal-BitVector, 512, 0.16
Pascal-BitVector, 1024, 0.29
Pascal-BitVector, 2048, 0.61
Pascal-BitVector, 4096, 1.11
Pascal-BitVector, 8192, 2.24
Pascal-BitVector, 16384, 4.35
Dart-List, 16, 0.01598
Dart-List, 32, 0.016045
Dart-List, 64, 0.025532
Dart-List, 128, 0.041349
Dart-List, 256, 0.07335
Dart-List, 512, 0.141917
Dart-List, 1024, 0.278956
Dart-List, 2048, 0.566093
Dart-List, 4096, 1.251026
Dart-List, 8192, 3.224262
Dart-List, 16384, 6.642721
